text,label
on june i made orders extending the convening period for the meeting of creditors required to be held under s a of the corporations act to midnight july in relation to a number of companies being the members of what is known as the estate property group together with some ancillary orders on the application of the administrators of the companies in the group fca in a related application concerning australian capital reserve limited on june orders were made extending the decision period provided for by s a of the act to the last day of the convening period for a number of companies in the group v high tower investments pty limited in the matter of high tower investments pty limited fca,PROPERTY
on june i made orders extending the convening period for the meeting of creditors required to be held under s a of the corporations act to midnight july in relation to a number of companies being the members of what is known as the estate property group together with some ancillary orders on the application of the administrators of the companies in the group fca in a related application concerning australian capital reserve limited on june orders were made extending the decision period provided for by s a of the act to the last day of the convening period for a number of companies in the group v high tower investments pty limited in the matter of high tower investments pty limited fca,PROPERTY
on june i made orders extending the convening period for the meeting of creditors required to be held under s a of the corporations act to midnight july in relation to a number of companies being the members of what is known as the estate property group together with some ancillary orders on the application of the administrators of the companies in the group fca in a related application concerning australian capital reserve limited on june orders were made extending the decision period provided for by s a of the act to the last day of the convening period for a number of companies in the group v high tower investments pty limited in the matter of high tower investments pty limited fca,PROPERTY
on march siopis j made interim orders restraining the defendants from removing any of their property from australia or from otherwise dealing with it except to the extent set out in the order he also directed the surrender of their passports,PROPERTY
in ainsworth v criminal justice commission hca clr at mason cj dawson toohey and gaudron jj said that superior courts have inherent power to grant declaratory relief their honours added that it is a discretionary power which it is neither possible nor desirable to fetter by laying down rules as to the manner of its exercise although it must be recognised that it is a power confined by the considerations which mark out the boundaries of judicial power,PROPERTY
in accc v ztek computer pty ltd fcr at at de after referring to these passages in ici merkel j said the width of the power conferred by s and its public interest character obviously give the court great amplitude in determining appropriate injunctive orders in a particular case however there are limitations on the courts power under the section,CYBER
most recently in foster v australian competition and consumer commission fcafc a full court noted the apparent tension between the view expressed by lockhart and gummow jj in ici their honours said at his honours reference to terms having an operation outside the boundaries of s is no more than a paraphrase of the actual words of the subsection such terms as the court determines to be appropriate,PROPERTY
insofar as the argument is advanced based upon s of the crimes act that is on the common informer provisions i respectfully adopt what was said by hely j in commonwealth bank of australia v gargan fca fcr where his honour dismissed the same argument i should note for completeness that at hely j relied upon what adams j had said in gargan v scott and i respectfully adopt what adams j said at,CRIMINAL
mr gargan also argued that he had an entitlement to the issue of orders in the nature of mandamus against the official trustee there may be a question in my mind as to whether that kind of right is a right which would vest or would be property which is capable of vesting in the official trustee,PROPERTY
insofar as the argument is advanced based upon s of the crimes act that is on the common informer provisions i respectfully adopt what was said by hely j in commonwealth bank of australia v gargan fca fcr where his honour dismissed the same argument i should note for completeness that at hely j relied upon what adams j had said in gargan v scott and i respectfully adopt what adams j said at,CRIMINAL
gedeon v commissioner of new south wales crime commission hca aljr at the high court said the expression jurisdictional fact was used somewhat loosely in the course of submissions generally the expression is used to identify a criterion the satisfaction of which enlivens the exercise of the statutory power or discretion in question,CRIMINAL
in those circumstances it is not strictly necessary for me to consider the respondents alternative submission that in there was an acquisition within s a when the applicants former husband transferred his interest in the property to the applicant who then became the sole registered proprietor of the property the submissions on this issue went no further than the question of whether or not there had been an acquisition within s a in,FAMILY
certain laws have been held to fall outside s and within another supporting head of power examples include laws which impose a fine or penalty or laws effecting or authorising seizure of the property of enemy aliens or the condemnation of prize,PROPERTY
i also agree with the respondents second submission that in any event the degree of impairment of the applicants rights with respect to the property is insufficient to attract the operation of s in waterhouse v minister for the arts and territories fcr the power of a minister to grant or withhold a permit for an object to be exported to a purchaser under the protection of movable cultural heritage act was held to be an insufficient impairment of the rights of the owner of a valuable australian painting to attract the operation of s clr per gaudron and gummow jj at,PROPERTY
in re director of public prosecutions ex parte lawler clr deane and gaudron jj said it is not necessary to repeat what we say in mutual pools with respect to the effect of the words for any purpose in respect of which the parliament has power to make laws however it is necessary to elaborate a little on the phrase acquisition of property on just terms,PROPERTY
i also agree with the respondents second submission that in any event the degree of impairment of the applicants rights with respect to the property is insufficient to attract the operation of s in waterhouse v minister for the arts and territories fcr the power of a minister to grant or withhold a permit for an object to be exported to a purchaser under the protection of movable cultural heritage act was held to be an insufficient impairment of the rights of the owner of a valuable australian painting to attract the operation of s clr per gaudron and gummow jj at,PROPERTY
